TCHEL	0.9542	0.04
TCHEM	0.9618	0.04
TCHET	0.9464	0.04
TCHPL	0.9325	0.04
TCHPM	0.9346	0.04
TCHPT	0.9270	0.04
JPL	0.9981	0.04
JPM	0.9634	0.04
JPT	0.9195	0.04
JBPL	0.9755	0.04
JBPM	0.9441	0.04
JBPT	0.9147	0.04
SSVHEM	0.9637	0.04
SSVHET	0.9454	0.04
SSVHPT	0.9520	0.04
CSVL	1.0198	0.04
CSVM	0.9721	0.04
CSVT	0.9586	0.04
